year,public_finance,state,industrial_dev,congressional_legislation,nation_peace,taxes,world,government_power,america_tonight,war
1791,8.0,19.0,0.0,10.0,15.0,0.0,0.0,14.0,1.0,9.0
1792,7.0,14.0,2.0,15.0,12.0,1.0,1.0,18.0,1.0,7.0
1793,9.0,15.0,0.0,9.0,14.0,2.0,0.0,15.0,2.0,8.0
1794,7.0,13.0,2.0,9.0,23.0,1.0,2.0,23.0,6.0,15.0
1795,3.0,14.0,1.0,11.0,19.0,0.0,0.0,13.0,1.0,5.0
1796,9.0,24.0,3.0,15.0,20.0,2.0,0.0,7.0,3.0,15.0
1797,9.0,24.0,1.0,11.0,12.0,1.0,1.0,14.0,0.0,4.0
1798,4.0,24.0,0.0,7.0,15.0,1.0,0.0,13.0,0.0,11.0
1799,0.0,15.0,1.0,7.0,13.0,1.0,0.0,11.0,1.0,1.0
1800,6.0,9.0,2.0,12.0,12.0,1.0,0.0,5.0,0.0,8.0
1801,16.0,12.0,3.0,21.0,16.0,3.0,0.0,15.0,2.0,29.0
1802,14.0,18.0,3.0,8.0,8.0,1.0,2.0,4.0,0.0,18.0
1803,14.0,18.0,1.0,6.0,11.0,5.0,0.0,6.0,0.0,6.0
1804,6.0,22.0,4.0,10.0,7.0,3.0,1.0,8.0,1.0,11.0
1805,8.0,18.0,5.0,12.0,12.0,4.0,0.0,15.0,1.0,30.0
1806,12.0,24.0,2.0,9.0,10.0,3.0,1.0,13.0,0.0,28.0
1807,6.0,23.0,0.0,9.0,7.0,5.0,0.0,9.0,0.0,19.0
1808,11.0,22.0,0.0,12.0,17.0,4.0,1.0,9.0,1.0,16.0
1809,5.0,15.0,2.0,7.0,10.0,1.0,0.0,4.0,0.0,2.0
1810,9.0,21.0,2.0,8.0,13.0,5.0,0.0,14.0,0.0,16.0
1811,4.0,20.0,0.0,8.0,12.0,2.0,0.0,3.0,0.0,12.0
1812,10.0,21.0,1.0,8.0,23.0,2.0,2.0,11.0,0.0,33.0
1813,6.0,17.0,4.0,1.0,22.0,4.0,2.0,8.0,0.0,25.0
1814,7.0,8.0,2.0,2.0,14.0,2.0,5.0,0.0,3.0,21.0
1815,16.0,11.0,5.0,7.0,15.0,2.0,0.0,4.0,1.0,21.0
1816,17.0,18.0,3.0,11.0,15.0,1.0,0.0,14.0,1.0,8.0
1817,29.0,44.0,6.0,15.0,25.0,5.0,0.0,16.0,0.0,23.0
1818,9.0,61.0,0.0,13.0,26.0,2.0,1.0,25.0,2.0,14.0
1819,15.0,67.0,3.0,12.0,22.0,3.0,1.0,29.0,3.0,14.0
1820,16.0,33.0,4.0,12.0,15.0,4.0,2.0,9.0,4.0,19.0
1821,33.0,67.0,2.0,12.0,21.0,6.0,0.0,42.0,1.0,23.0
1822,15.0,36.0,1.0,20.0,35.0,9.0,0.0,21.0,0.0,21.0
1823,35.0,54.0,4.0,39.0,50.0,9.0,3.0,24.0,4.0,36.0
1824,31.0,100.0,6.0,32.0,64.0,4.0,1.0,38.0,2.0,48.0
1825,31.0,50.0,4.0,34.0,39.0,8.0,2.0,35.0,2.0,51.0
1826,32.0,64.0,6.0,30.0,24.0,18.0,2.0,30.0,1.0,17.0
1827,33.0,68.0,8.0,19.0,26.0,11.0,2.0,36.0,2.0,22.0
1828,37.0,57.0,4.0,30.0,38.0,17.0,4.0,31.0,1.0,24.0
1829,41.0,67.0,11.0,37.0,88.0,3.0,4.0,88.0,5.0,43.0
1830,66.0,116.0,10.0,66.0,107.0,5.0,4.0,97.0,2.0,32.0
1831,16.0,86.0,4.0,24.0,37.0,0.0,1.0,41.0,0.0,9.0
1832,42.0,67.0,3.0,36.0,51.0,1.0,2.0,41.0,0.0,18.0
1833,37.0,70.0,3.0,38.0,31.0,4.0,2.0,39.0,0.0,13.0
1834,63.0,94.0,3.0,63.0,81.0,10.0,1.0,100.0,1.0,20.0
1835,42.0,84.0,4.0,39.0,67.0,3.0,3.0,70.0,2.0,6.0
1836,127.0,53.0,5.0,55.0,50.0,6.0,2.0,59.0,2.0,30.0
1837,70.0,91.0,9.0,62.0,54.0,4.0,1.0,51.0,2.0,30.0
1838,48.0,72.0,9.0,47.0,70.0,11.0,0.0,61.0,6.0,23.0
1839,140.0,67.0,9.0,44.0,77.0,11.0,1.0,52.0,5.0,19.0
1840,41.0,59.0,1.0,22.0,57.0,9.0,1.0,25.0,4.0,25.0
1841,49.0,59.0,2.0,40.0,44.0,8.0,2.0,52.0,2.0,24.0
1842,64.0,50.0,7.0,34.0,43.0,6.0,1.0,41.0,0.0,12.0
1843,40.0,76.0,3.0,26.0,49.0,8.0,1.0,23.0,1.0,23.0
1844,40.0,94.0,9.0,46.0,77.0,0.0,2.0,58.0,0.0,23.0
1845,123.0,166.0,15.0,58.0,66.0,13.0,2.0,112.0,5.0,47.0
1846,75.0,211.0,12.0,57.0,80.0,21.0,3.0,104.0,4.0,52.0
1847,91.0,177.0,13.0,53.0,73.0,20.0,4.0,69.0,4.0,79.0
1848,135.0,139.0,24.0,81.0,122.0,28.0,8.0,164.0,6.0,90.0
1849,16.0,86.0,6.0,47.0,36.0,5.0,3.0,44.0,3.0,25.0
1850,36.0,55.0,15.0,46.0,56.0,9.0,1.0,67.0,4.0,22.0
1851,50.0,96.0,7.0,95.0,51.0,36.0,2.0,83.0,5.0,65.0
1852,35.0,95.0,17.0,54.0,65.0,9.0,6.0,41.0,7.0,51.0
1853,29.0,74.0,13.0,39.0,60.0,6.0,4.0,53.0,2.0,21.0
1854,33.0,89.0,10.0,37.0,52.0,11.0,1.0,45.0,7.0,65.0
1855,16.0,114.0,4.0,32.0,53.0,7.0,3.0,98.0,3.0,25.0
1856,18.0,85.0,3.0,32.0,52.0,10.0,4.0,86.0,5.0,25.0
1857,85.0,112.0,10.0,41.0,57.0,22.0,3.0,127.0,7.0,50.0
1858,77.0,189.0,21.0,67.0,78.0,24.0,6.0,147.0,13.0,50.0
1859,46.0,103.0,10.0,60.0,75.0,44.0,3.0,140.0,18.0,51.0
1860,59.0,97.0,9.0,41.0,111.0,12.0,9.0,223.0,15.0,44.0
1861,18.0,45.0,16.0,41.0,43.0,14.0,11.0,58.0,14.0,41.0
1862,70.0,79.0,21.0,51.0,55.0,26.0,16.0,43.0,19.0,17.0
1863,29.0,48.0,10.0,46.0,29.0,13.0,7.0,46.0,4.0,36.0
1864,38.0,67.0,11.0,31.0,36.0,22.0,11.0,49.0,5.0,32.0
1865,27.0,60.0,17.0,29.0,99.0,13.0,10.0,70.0,5.0,26.0
1866,25.0,47.0,11.0,44.0,34.0,17.0,2.0,68.0,3.0,23.0
1867,69.0,48.0,12.0,35.0,120.0,22.0,12.0,117.0,13.0,37.0
1868,76.0,83.0,10.0,41.0,56.0,43.0,3.0,50.0,4.0,22.0
1869,48.0,64.0,9.0,44.0,37.0,21.0,4.0,52.0,5.0,24.0
1870,36.0,105.0,23.0,48.0,33.0,21.0,8.0,60.0,6.0,30.0
1871,19.0,56.0,15.0,46.0,38.0,4.0,5.0,67.0,4.0,25.0
1872,12.0,49.0,3.0,23.0,24.0,1.0,1.0,35.0,2.0,6.0
1873,64.0,54.0,18.0,74.0,27.0,27.0,4.0,66.0,10.0,33.0
1874,50.0,57.0,16.0,63.0,46.0,7.0,6.0,82.0,6.0,29.0
1875,59.0,89.0,31.0,70.0,61.0,31.0,6.0,65.0,7.0,36.0
1876,15.0,58.0,9.0,47.0,17.0,14.0,4.0,53.0,9.0,26.0
1877,55.0,45.0,4.0,29.0,51.0,26.0,1.0,47.0,1.0,26.0
1878,35.0,40.0,20.0,55.0,41.0,33.0,1.0,44.0,5.0,27.0
1879,63.0,68.0,11.0,90.0,36.0,38.0,0.0,78.0,5.0,35.0
1880,11.0,62.0,11.0,44.0,41.0,2.0,0.0,69.0,1.0,18.0
1881,18.0,64.0,4.0,29.0,14.0,4.0,5.0,42.0,5.0,14.0
1882,24.0,51.0,1.0,26.0,10.0,7.0,0.0,38.0,6.0,11.0
1883,37.0,52.0,5.0,19.0,11.0,15.0,0.0,49.0,5.0,11.0
1884,51.0,74.0,12.0,74.0,26.0,25.0,2.0,72.0,10.0,48.0
1885,94.0,123.0,32.0,88.0,82.0,40.0,8.0,162.0,10.0,76.0
1886,90.0,76.0,38.0,96.0,58.0,41.0,11.0,105.0,8.0,38.0
1887,74.0,5.0,11.0,19.0,24.0,9.0,2.0,11.0,1.0,1.0
1888,52.0,42.0,14.0,48.0,50.0,26.0,5.0,57.0,9.0,23.0
1889,68.0,96.0,31.0,90.0,56.0,23.0,11.0,108.0,18.0,61.0
1890,59.0,84.0,39.0,90.0,28.0,46.0,11.0,103.0,11.0,31.0
1891,82.0,103.0,29.0,83.0,53.0,62.0,16.0,121.0,18.0,65.0
1892,67.0,104.0,45.0,77.0,41.0,88.0,8.0,61.0,14.0,62.0
1893,87.0,72.0,25.0,59.0,32.0,77.0,8.0,75.0,5.0,66.0
1894,118.0,83.0,51.0,91.0,37.0,98.0,10.0,79.0,6.0,90.0
1895,155.0,76.0,19.0,37.0,56.0,15.0,8.0,73.0,5.0,20.0
1896,107.0,64.0,26.0,85.0,75.0,84.0,11.0,59.0,9.0,77.0
1897,68.0,92.0,20.0,55.0,84.0,7.0,8.0,86.0,10.0,45.0
1898,60.0,175.0,39.0,100.0,56.0,51.0,6.0,137.0,21.0,149.0
1899,46.0,132.0,27.0,77.0,53.0,28.0,13.0,141.0,10.0,54.0
1900,51.0,149.0,50.0,86.0,85.0,59.0,22.0,157.0,31.0,100.0
1901,57.0,69.0,133.0,60.0,181.0,22.0,42.0,114.0,67.0,158.0
1902,35.0,40.0,58.0,57.0,88.0,8.0,29.0,58.0,16.0,64.0
1903,34.0,143.0,48.0,95.0,88.0,54.0,26.0,139.0,25.0,82.0
1904,41.0,42.0,110.0,85.0,125.0,21.0,30.0,108.0,47.0,92.0
1905,77.0,80.0,99.0,114.0,187.0,30.0,31.0,206.0,59.0,155.0
1906,66.0,63.0,77.0,50.0,181.0,24.0,42.0,193.0,74.0,87.0
1907,104.0,80.0,147.0,129.0,130.0,44.0,40.0,206.0,47.0,216.0
1908,60.0,43.0,114.0,85.0,123.0,25.0,33.0,149.0,44.0,124.0
1909,54.0,61.0,18.0,102.0,28.0,28.0,11.0,111.0,21.0,55.0
1910,22.0,71.0,10.0,39.0,15.0,14.0,8.0,54.0,7.0,21.0
1911,113.0,112.0,48.0,139.0,62.0,46.0,26.0,238.0,48.0,123.0
1912,83.0,124.0,81.0,158.0,121.0,45.0,24.0,158.0,26.0,122.0
1913,10.0,6.0,19.0,16.0,35.0,2.0,12.0,21.0,5.0,14.0
1914,13.0,14.0,19.0,26.0,56.0,1.0,16.0,10.0,16.0,39.0
1915,24.0,14.0,12.0,36.0,87.0,22.0,23.0,5.0,14.0,51.0
1916,1.0,3.0,3.0,20.0,8.0,1.0,1.0,19.0,2.0,8.0
1917,2.0,17.0,6.0,15.0,55.0,2.0,28.0,21.0,11.0,10.0
1918,18.0,10.0,22.0,17.0,41.0,9.0,27.0,13.0,13.0,37.0
1919,13.0,6.0,31.0,35.0,43.0,5.0,17.0,25.0,11.0,15.0
1920,16.0,2.0,6.0,18.0,22.0,10.0,10.0,9.0,0.0,7.0
1921,24.0,6.0,50.0,38.0,61.0,11.0,12.0,40.0,10.0,15.0
1922,24.0,13.0,55.0,21.0,61.0,12.0,19.0,49.0,12.0,22.0
1923,50.0,31.0,65.0,56.0,86.0,23.0,34.0,77.0,6.0,41.0
1924,52.0,20.0,59.0,41.0,64.0,22.0,23.0,43.0,7.0,31.0
1925,82.0,38.0,82.0,69.0,100.0,43.0,33.0,106.0,17.0,66.0
1926,71.0,25.0,106.0,57.0,100.0,44.0,24.0,74.0,15.0,64.0
1927,85.0,50.0,117.0,63.0,68.0,43.0,30.0,45.0,16.0,67.0
1928,48.0,44.0,99.0,54.0,59.0,49.0,17.0,50.0,16.0,56.0
1929,55.0,33.0,94.0,93.0,60.0,41.0,13.0,77.0,10.0,51.0
1930,19.0,10.0,46.0,32.0,22.0,42.0,1.0,26.0,6.0,13.0
